MS.SubClass,Lot.Area,Lot.Shape,Bldg.Type,Overall.Qual,Year.Built,Year.Remod.Add,Mas.Vnr.Area,Total.Bsmt.SF,Heating,Central.Air,Electrical,Gr.Liv.Area,Bedroom.AbvGr,TotRms.AbvGrd,Fireplace.Qu,Garage.Area,Yr.Sold,Sale.Type,Street,SalePrice
120,3901,Regular,Twnhs,6,11,10,182,1302,GasA,1,SBrkr,1302,1,5,Y,631,2007,New,1,204000
20,8400,Regular,1Fam,NA,46,46,0,882,GasA,1,SBrkr,882,2,4,Y,525,2010,WD ,1,126000
85,7200,Regular,1Fam,5,44,13,0,768,GasA,1,SBrkr,768,2,5,Y,396,2009,WD ,1,133900
90,7018,Regular,Duplex,5,37,37,0,0,GasA,1,SBrkr,1535,4,8,Y,400,2009,WD ,1,118858
60,16259,Regular,1Fam,9,10,10,370,1249,GasA,1,SBrkr,2596,4,9,Y,840,2006,New,1,342643
20,4280,Irregular,1Fam,4,70,15,0,560,GasA,1,Fuse,704,2,4,Y,220,2009,WD ,1,88750
20,20064,Irregular,1Fam,8,40,40,0,966,GasA,1,SBrkr,1743,0,5,Y,529,2007,WD ,1,279000
20,7200,Regular,1Fam,4,66,66,0,576,GasA,1,SBrkr,864,2,5,Y,528,2006,COD,1,105000
20,9100,Regular,1Fam,7,16,16,244,1525,GasA,1,SBrkr,1525,3,6,Y,541,2006,WD ,1,235000
70,6449,Irregular,1Fam,4,109,66,0,707,GasW,0,SBrkr,1884,4,7,Y,0,2010,WD ,1,93369
50,7642,Regular,1Fam,7,98,18,0,912,GasA,1,SBrkr,1426,3,7,Y,216,2007,WD ,1,189950
60,28698,Irregular,1Fam,5,49,49,0,1013,GasA,1,SBrkr,2126,3,7,Y,538,2009,WD ,1,185000
50,9839,Regular,1Fam,5,85,66,0,894,GasA,1,SBrkr,1666,3,7,Y,0,2010,WD ,1,100000
80,10385,Irregular,1Fam,6,38,38,123,995,GasA,1,SBrkr,1282,3,6,Y,672,2006,WD ,1,174000
20,8250,Regular,1Fam,6,52,52,260,1092,GasA,1,SBrkr,1092,3,6,Y,504,2008,WD ,1,145000
20,8516,Regular,1Fam,4,58,10,0,869,GasA,1,SBrkr,1093,2,5,Y,308,2008,WD ,1,115500
160,2522,Regular,Twnhs,7,12,12,50,970,GasA,1,SBrkr,1709,3,7,Y,380,2006,WD ,1,130000
20,17169,Irregular,1Fam,10,9,9,970,2320,GasA,1,SBrkr,2290,2,7,Y,1174,2007,New,1,500067
20,9100,Regular,1Fam,7,12,11,0,1860,GasA,1,SBrkr,1836,3,8,Y,484,2006,WD ,1,216837
190,6221,Irregular,2fmCon,5,75,66,0,728,GasA,1,SBrkr,1355,3,5,Y,528,2007,WD ,1,140000
50,10512,Regular,1Fam,6,62,62,0,988,GasA,1,SBrkr,1626,3,6,Y,332,2007,WD ,1,154000
20,14331,Regular,1Fam,8,14,14,630,1800,GasA,1,SBrkr,1800,3,7,Y,765,2006,WD ,1,312500
20,9135,Regular,1Fam,7,14,13,113,1536,GasA,1,SBrkr,1536,3,7,Y,532,2008,WD ,1,214000
20,9345,Irregular,1Fam,8,9,9,156,1615,GasA,1,SBrkr,1615,3,7,Y,864,2008,WD ,1,248500
20,8339,Irregular,1Fam,5,57,57,0,0,GasA,1,SBrkr,882,3,5,Y,294,2007,WD ,1,106500
60,17104,Irregular,1Fam,7,10,10,0,654,GasA,1,SBrkr,1496,3,7,Y,426,2006,New,1,179665
60,10005,Regular,1Fam,7,39,39,299,1160,GasA,1,SBrkr,2022,4,8,Y,505,2008,WD ,1,192000
60,9660,Irregular,1Fam,8,18,18,242,1044,GasA,1,SBrkr,1976,3,7,Y,885,2006,WD ,1,286000
20,6500,Regular,1Fam,6,40,40,84,1127,GasA,1,SBrkr,1127,3,6,Y,480,2008,WD ,1,135000
70,9670,Irregular,1Fam,8,81,66,40,608,GasA,1,SBrkr,1873,4,9,Y,786,2008,WD ,1,257076
20,10960,Irregular,1Fam,6,32,32,0,1284,GasA,1,SBrkr,1284,3,5,Y,480,2007,COD,1,174000
50,10440,Regular,1Fam,5,106,35,0,440,GasA,1,SBrkr,1230,2,5,Y,440,2009,WD ,1,110000
190,8800,Regular,2fmCon,6,51,16,0,1187,GasA,1,SBrkr,1565,3,7,Y,299,2006,WD ,1,185900
20,14585,Irregular,1Fam,6,56,29,85,1144,GasA,1,SBrkr,1429,3,7,Y,572,2007,WD ,1,181900
50,8375,Regular,1Fam,5,75,43,0,576,GasA,1,SBrkr,1350,2,6,Y,627,2008,WD ,1,152400
60,11645,Irregular,1Fam,7,12,12,0,860,GasA,1,SBrkr,1720,3,7,Y,565,2006,WD ,1,196500
45,6130,Regular,1Fam,5,92,66,0,784,GasA,1,SBrkr,784,2,5,Y,0,2008,WD ,1,109500
60,12217,Irregular,1Fam,8,9,9,0,955,GasA,1,SBrkr,1880,3,8,Y,880,2007,New,1,310013
60,9803,Regular,1Fam,7,11,11,0,866,GasA,1,SBrkr,1768,3,7,Y,603,2008,WD ,1,226700
20,13175,Regular,1Fam,6,38,28,119,1542,GasA,1,SBrkr,2073,3,7,Y,500,2010,WD ,1,210000
20,9000,Regular,1Fam,5,50,50,0,1059,GasA,1,SBrkr,1059,3,6,Y,286,2006,WD ,1,142500
70,6600,Regular,1Fam,5,124,51,0,994,GasA,0,SBrkr,2372,4,11,Y,432,2009,WD ,1,107500
120,4740,Irregular,TwnhsE,8,28,28,0,1166,GasA,1,SBrkr,1179,2,5,Y,480,2007,WD ,1,182000
20,7500,Regular,1Fam,8,10,9,238,1372,GasA,1,SBrkr,1448,2,6,Y,692,2009,WD ,1,238500
20,9510,Regular,1Fam,6,54,31,161,1135,GasA,1,SBrkr,1207,3,6,Y,264,2006,WD ,1,147000
20,11100,Regular,1Fam,4,70,10,0,0,GasA,1,SBrkr,930,2,6,Y,308,2010,WD ,1,84900
30,10914,Regular,1Fam,3,87,66,0,715,GasA,0,Fuse,715,2,4,Y,660,2006,WD ,1,68000
75,25419,Regular,1Fam,8,98,26,0,1360,GasA,1,SBrkr,3112,4,8,Y,795,2006,WD ,1,235000
120,3869,Regular,TwnhsE,5,32,32,149,1038,GasA,1,SBrkr,1038,2,5,Y,264,2007,WD ,1,130000
80,10784,Irregular,1Fam,7,25,24,76,384,GasA,1,SBrkr,1472,3,7,Y,402,2007,WD ,1,160000
20,10037,Regular,1Fam,8,10,9,0,1460,GasA,1,SBrkr,1460,3,6,Y,480,2008,WD ,1,247000
20,8749,Regular,1Fam,7,14,14,100,1459,GasA,1,SBrkr,1459,3,6,Y,527,2007,WD ,1,192000
80,10000,Regular,1Fam,5,60,60,272,1058,GasA,1,SBrkr,1370,3,6,Y,300,2006,WD ,1,148000
160,5306,Irregular,TwnhsE,7,29,29,0,1064,GasA,1,SBrkr,1767,2,5,Y,504,2006,WD ,1,239000
80,10530,Regular,1Fam,6,41,16,248,675,GasA,1,SBrkr,1875,3,8,Y,485,2006,WD ,1,184500
20,9200,Regular,1Fam,6,51,51,0,1136,GasA,1,SBrkr,1136,3,5,Y,384,2008,WD ,1,140000
20,11194,Irregular,1Fam,8,8,8,240,1696,GasA,1,SBrkr,1696,3,7,Y,972,2009,WD ,1,275000
60,10208,Irregular,1Fam,7,20,19,921,1264,GasA,1,SBrkr,2344,3,7,Y,889,2009,WD ,1,265000
60,9462,Regular,1Fam,5,67,43,0,704,GasA,1,Fuse,1728,3,7,Y,234,2006,WD ,1,137000
20,11800,Irregular,1Fam,5,42,42,0,864,GasA,1,SBrkr,894,3,5,Y,440,2007,WD ,1,131000
70,56600,Irregular,1Fam,5,116,66,0,686,GasA,1,SBrkr,1836,4,7,Y,288,2008,WD ,1,103000
70,3068,Regular,1Fam,6,96,23,0,662,GasA,1,SBrkr,1324,3,6,Y,180,2010,WD ,1,122000
60,12090,Regular,1Fam,8,18,18,650,1141,GasA,1,SBrkr,2263,4,10,Y,420,2006,WD ,1,258000
50,12144,Regular,1Fam,4,66,66,0,910,GasA,1,SBrkr,1521,3,6,Y,597,2006,WD ,1,147500
20,10434,Regular,1Fam,4,61,61,0,1005,GasA,1,SBrkr,1005,2,5,Y,672,2009,WD ,1,115000
20,11096,Regular,1Fam,8,10,10,0,1656,GasA,1,SBrkr,1656,3,7,Y,826,2007,WD ,1,249700
50,6240,Regular,1Fam,5,80,36,0,528,GasA,1,SBrkr,1040,2,5,Y,624,2010,WD ,1,123900
20,9750,Regular,1Fam,7,12,12,50,1445,GasA,1,SBrkr,1445,3,6,Y,470,2008,WD ,1,186500
20,11027,Irregular,1Fam,6,62,62,28,1178,GasA,1,SBrkr,1293,2,5,Y,452,2006,WD ,1,149900
20,13704,Irregular,1Fam,7,15,14,150,1541,GasA,1,SBrkr,1541,3,6,Y,843,2006,WD ,1,205000
85,7689,Irregular,1Fam,5,44,44,0,796,GasA,1,SBrkr,796,2,4,Y,336,2009,WD ,1,131900
60,11143,Irregular,1Fam,8,12,11,0,1580,GasA,1,SBrkr,2466,4,8,Y,610,2007,WD ,1,340000
120,5119,Irregular,TwnhsE,9,17,16,60,1698,GasA,1,SBrkr,1709,2,5,Y,506,2008,WD,1,328900
20,9819,Irregular,1Fam,6,39,39,0,1567,GasA,1,SBrkr,1567,2,5,Y,714,2009,WD ,1,196000
20,10140,Regular,1Fam,5,41,41,0,1056,GasA,1,SBrkr,1074,3,6,Y,495,2006,WD ,1,153500
60,9760,Regular,1Fam,6,52,23,340,822,GasA,1,SBrkr,1851,3,7,Y,440,2007,WD ,1,187000
50,7558,Regular,1Fam,6,88,66,0,896,GasA,1,SBrkr,1913,3,9,Y,342,2009,WD ,1,177000
190,10800,Regular,2fmCon,4,116,16,0,0,GasA,0,Fuse,1294,3,7,Y,0,2008,WD ,1,106250
30,8635,Regular,1Fam,5,91,66,0,1072,GasA,1,SBrkr,1072,2,5,Y,1184,2009,WD ,1,126500
20,9600,Regular,1Fam,8,35,35,0,2524,GasA,1,SBrkr,2524,4,9,Y,542,2009,WD ,1,278000
50,7000,Regular,1Fam,6,92,66,0,617,GasA,1,SBrkr,1310,2,6,Y,398,2006,COD,1,112000
30,6180,Regular,1Fam,6,90,66,0,960,GasA,0,SBrkr,986,2,5,Y,180,2007,WD ,1,102000
60,7655,Irregular,1Fam,6,23,22,0,903,GasA,1,SBrkr,1642,3,7,Y,392,2007,WD ,1,168000
20,23580,Irregular,1Fam,6,37,37,0,1625,GasA,1,SBrkr,1625,3,6,Y,576,2006,WD ,1,242500
80,12700,Irregular,1Fam,6,52,52,0,1246,GasA,1,SBrkr,1246,3,6,Y,441,2006,WD ,1,172000
20,7635,Irregular,1Fam,5,56,56,0,1175,GasA,1,SBrkr,1175,3,6,Y,484,2010,WD ,1,148000
20,7207,Irregular,1Fam,5,58,8,0,858,GasA,1,SBrkr,858,2,4,Y,0,2010,WD ,1,116500
20,16669,Irregular,1Fam,8,35,35,653,1686,GasA,1,SBrkr,1707,2,6,Y,511,2006,WD ,1,228000
60,12936,Irregular,1Fam,6,44,44,0,723,GasA,1,SBrkr,1395,3,6,Y,497,2009,WD ,1,162000
50,9600,Regular,1Fam,6,116,12,0,780,GasA,1,SBrkr,1416,3,7,Y,400,2006,WD ,1,156500
90,8250,Regular,Duplex,6,35,35,0,0,GasA,1,SBrkr,1882,4,8,Y,612,2009,WD ,1,160000
20,7250,Regular,1Fam,6,23,23,45,1181,GasA,1,SBrkr,1190,3,6,Y,430,2009,WD ,1,166000
70,9650,Irregular,1Fam,6,93,66,0,784,GasA,1,SBrkr,1603,4,7,Y,599,2008,WD ,1,138000
20,7800,Regular,1Fam,5,49,12,89,864,GasA,1,SBrkr,899,3,5,Y,288,2009,WD ,1,130000
120,5070,Irregular,TwnhsE,8,24,24,0,1280,GasA,1,SBrkr,1280,2,5,Y,506,2008,WD ,1,180000
50,9350,Regular,1Fam,4,69,37,0,756,GasA,1,SBrkr,1531,3,8,Y,209,2010,WD ,1,127000
20,8308,Regular,1Fam,4,53,53,20,1088,GasA,1,SBrkr,1088,2,4,Y,520,2007,COD,1,110000
50,6000,Regular,1Fam,5,90,66,0,1008,GasA,1,SBrkr,1522,4,7,Y,0,2006,WD ,1,102000
160,2572,Regular,Twnhs,7,17,17,0,696,GasA,1,SBrkr,1416,3,6,Y,484,2010,WD ,1,155000
30,6000,Regular,1Fam,4,96,66,0,960,GasA,1,Fuse,960,2,5,Y,308,2007,WD ,1,108500
70,8400,Regular,1Fam,6,116,66,0,917,GasA,1,Fuse,2007,3,8,Y,357,2009,WD ,1,160000
20,13501,Irregular,1Fam,8,10,10,208,1623,GasA,1,SBrkr,1636,3,8,Y,865,2007,WD ,1,255000
90,3000,Regular,Duplex,5,94,66,0,1040,GasA,0,SBrkr,2128,4,11,Y,0,2009,WD ,1,62500
50,12180,Regular,1Fam,5,78,9,0,585,GasA,1,Fuse,1053,2,5,Y,0,2008,WD ,1,120000
20,9750,Regular,1Fam,5,57,57,164,984,GasA,1,SBrkr,984,2,5,Y,308,2008,WD ,1,110000
60,8637,Irregular,1Fam,6,17,16,0,923,GasA,1,SBrkr,1714,3,7,Y,451,2007,WD ,1,180000
20,14357,Irregular,1Fam,5,55,55,0,864,GasA,1,SBrkr,1187,2,6,Y,440,2007,WD,1,140500
20,9790,Regular,1Fam,6,49,49,0,1372,GasA,1,SBrkr,1342,3,7,Y,457,2009,WD ,1,161500
20,6762,Regular,1Fam,7,10,10,0,1286,GasA,1,SBrkr,1294,2,6,Y,662,2006,New,1,193879
120,4224,Regular,TwnhsE,5,40,40,0,1040,GasA,1,SBrkr,1060,3,6,Y,572,2007,WD ,1,129900
20,11616,Regular,1Fam,5,54,54,116,1092,GasA,1,SBrkr,1092,3,6,Y,288,2009,WD ,1,139000
